7zip 26.02-1
python-python-discovery 1.6.0-1
python-pytz 2026.1-1
python-pyxdg 0.28-7
python-requests 2.34.2-1
python-roman-numerals-py 4.1.0-1
python-setproctitle 1.3.7-2
python-setuptools 1:84.0.0-1
python-shtab 1.12.0-1
python-six 1.17.0-3
python-snowballstemmer 3.1.1-1
python-soupsieve 2.9.2-1
python-sphinx 9.1.0-1
python-sphinx-alabaster-theme 1.0.0-6
python-sphinx-basic-ng 1.0.0b2-4
python-sphinx-copybutton 0.5.2-5
python-sphinx-furo 2025.12.19-1
python-sphinxcontrib-applehelp 2.0.0-5
python-sphinxcontrib-devhelp 2.0.0-6
python-sphinxcontrib-htmlhelp 2.1.0-5
